{'text': '[Applause]', 'start': 1.04, 'duration': 3.109}
{'text': "though it isn't at the very least it", 'start': 250.48, 'duration': 4.92}
{'text': 'might involve me having to remember', 'start': 253.64, 'duration': 3.999}
{'text': 'answers to security questions from 12', 'start': 255.4, 'duration': 5.359}
{'text': "years ago um what was my pet's name in", 'start': 257.639, 'duration': 6.401}
{'text': '2002 was it Kelly Baron or hooti the', 'start': 260.759, 'duration': 5.16}
{'text': 'Goldfish oh you know what it was', 'start': 264.04, 'duration': 3.76}
{'text': "Christina agul lizard but I'm still not", 'start': 265.919, 'duration': 4.601}
{'text': "doing it I'm still not doing it look I I", 'start': 267.8, 'duration': 4.92}
{'text': 'get no one wants to do this so to help', 'start': 270.52, 'duration': 4.119}
{'text': "you we've actually come up with a list", 'start': 272.72, 'duration': 5.0}
{'text': 'of replacement words uh that nobody not', 'start': 274.639, 'duration': 5.521}
{'text': 'even a Russian gang will be able to', 'start': 277.72, 'duration': 5.0}
{'text': 'guess perfect passwords such as Alan', 'start': 280.16, 'duration': 5.879}
{'text': 'Alder new Batman no no one is guessing', 'start': 282.72, 'duration': 4.919}
{'text': "that it's the perfect password that", 'start': 286.039, 'duration': 3.961}
{'text': 'sequence of words has never been inside', 'start': 287.639, 'duration': 5.4}
{'text': "anyone's head although now to be honest", 'start': 290.0, 'duration': 4.919}
{'text': 'I think he would be a good Batman I', 'start': 293.039, 'duration': 3.481}
{'text': "think it's a different way to go with", 'start': 294.919, 'duration': 3.881}
{'text': 'the character so so instead you might', 'start': 296.52, 'duration': 3.44}
{'text': 'want to go with something like', 'start': 298.8, 'duration': 4.119}
{'text': "Pittsburgh Olympics 2024 that's Rock", 'start': 299.96, 'duration': 5.92}
{'text': 'Solid it makes no sense it even feels', 'start': 302.919, 'duration': 5.28}
{'text': "weird saying it out loud here's a bunch", 'start': 305.88, 'duration': 3.96}
{'text': 'more passwords running along the bottom', 'start': 308.199, 'duration': 3.761}
{'text': 'of your screen right now help yourself', 'start': 309.84, 'duration': 4.16}
{'text': 'to any of these none of them make sense', 'start': 311.96, 'duration': 4.72}
{'text': "uh there's Lobster brownie John John", 'start': 314.0, 'duration': 4.52}
{'text': 'Oliver equals Christian Gray just words', 'start': 316.68, 'duration': 3.639}
{'text': "that don't belong together the point is", 'start': 318.52, 'duration': 4.6}
{'text': "you're covered uh but finally uh turning", 'start': 320.319, 'duration': 6.0}
{'text': 'to the crisis in Gaza earlier this week', 'start': 323.12, 'duration': 4.84}
{'text': 'everyone placed their hope in the', 'start': 326.319, 'duration': 4.481}
{'text': 'announcement of a 72-hour ceasefire good', 'start': 327.96, 'duration': 6.48}
{'text': 'news the ceasefire held bad news then', 'start': 330.8, 'duration': 5.92}
{'text': 'this happened the 3-day ceasefire', 'start': 334.44, 'duration': 5.12}
{'text': 'between Israel and Hamas is history the', 'start': 336.72, 'duration': 4.8}
{'text': 'Israeli military says Rockets were fired', 'start': 339.56, 'duration': 4.84}
{'text': 'into Israel before the ceasefire even', 'start': 341.52, 'duration': 6.04}
{'text': 'ended look is it too much to ask that', 'start': 344.4, 'duration': 5.519}
{'text': 'the ceasefire in Gaza last a little', 'start': 347.56, 'duration': 5.28}
{'text': 'longer than', 'start': 349.919, 'duration': 6.241}
{'text': 'bonaroo as of taping right now another', 'start': 352.84, 'duration': 5.4}
{'text': 'ceasefire has apparently begun we can we', 'start': 356.16, 'duration': 3.8}
{'text': 'can all only hope that it holds the', 'start': 358.24, 'duration': 3.76}
{'text': 'problem is that even when leaders over', 'start': 359.96, 'duration': 4.239}
{'text': 'there start to sound hopeful the things', 'start': 362.0, 'duration': 5.16}
{'text': "they're hopeful about are depressingly", 'start': 364.199, 'duration': 5.241}
{'text': 'unambitious there are opportunities now', 'start': 367.16, 'duration': 6.2}
{'text': 'to be able to Fashion a new reality one', 'start': 369.44, 'duration': 5.68}
{'text': 'more conducive to the end of violence to', 'start': 373.36, 'duration': 4.399}
{'text': 'the establishment of calm sustainable', 'start': 375.12, 'duration': 6.199}
{'text': 'peace or at least a sustainable quiet', 'start': 377.759, 'duration': 6.361}
{'text': 'what did did you see that he wished for', 'start': 381.319, 'duration': 4.6}
{'text': 'peace and then immediately bargained', 'start': 384.12, 'duration': 5.12}
{'text': 'himself back to a sustainable quiet', 'start': 385.919, 'duration': 5.201}
{'text': 'which basically sounds like a librarian', 'start': 389.24, 'duration': 4.079}
{'text': 'walking around the region shushing', 'start': 391.12, 'duration': 5.24}
{'text': 'everyone no', 'start': 393.319, 'duration': 5.801}
{'text': "rockets and if that weren't enough to", 'start': 396.36, 'duration': 5.04}
{'text': 'dispel any illusions of imminent peace', 'start': 399.12, 'duration': 5.479}
{'text': 'in the region there was also this a new', 'start': 401.4, 'duration': 6.12}
{'text': "app it's called bomb Gaza it allows", 'start': 404.599, 'duration': 5.6}
{'text': 'users to kill civilians from the skies', 'start': 407.52, 'duration': 6.32}
{'text': "on your phone it's a game that's that's", 'start': 410.199, 'duration': 5.161}
{'text': 'what I always thought the problem with', 'start': 413.84, 'duration': 3.759}
{'text': 'Gaza was no one had turned it into a', 'start': 415.36, 'duration': 6.44}
{'text': "game yet it it just wasn't fun until now", 'start': 417.599, 'duration': 5.961}
{'text': 'incredibly there are games out there', 'start': 421.8, 'duration': 4.36}
{'text': 'representing both sides of this conflict', 'start': 423.56, 'duration': 5.079}
{'text': 'on rocket pride you can fire rockets at', 'start': 426.16, 'duration': 5.36}
{'text': 'Israel and on Gaza assault code red you', 'start': 428.639, 'duration': 5.0}
{'text': 'can pilot a drone and fire on', 'start': 431.52, 'duration': 4.92}
{'text': 'Palestinian towns just just think about', 'start': 433.639, 'duration': 4.481}
{'text': 'that someone could have been playing', 'start': 436.44, 'duration': 3.72}
{'text': 'these games on their commute to work', 'start': 438.12, 'duration': 3.919}
{'text': 'while real rockets were being fired', 'start': 440.16, 'duration': 4.36}
{'text': 'going oh I missed my stop this is', 'start': 442.039, 'duration': 3.921}
{'text': "the worst thing that's happened to", 'start': 444.52, 'duration': 3.679}
{'text': 'anyone', 'start': 445.96, 'duration': 5.32}
{'text': 'today to be be honest War has always', 'start': 448.199, 'duration': 5.68}
{'text': 'been popular in video games the the', 'start': 451.28, 'duration': 4.68}
{'text': "nuances of diplomacy however they've", 'start': 453.879, 'duration': 4.961}
{'text': 'never held quite the same appeal that is', 'start': 455.96, 'duration': 4.72}
{'text': 'until', 'start': 458.84, 'duration': 4.88}
{'text': 'now you fought terrorists in Call of', 'start': 460.68, 'duration': 6.76}
{'text': 'Duty and alien hords and Gears of War', 'start': 463.72, 'duration': 6.879}
{'text': 'well now get ready for the opposite of', 'start': 467.44, 'duration': 5.759}
{'text': 'that okay first up on the agenda', 'start': 470.599, 'duration': 5.28}
{'text': 'paragraph 3 subsection 4 retention of', 'start': 473.199, 'duration': 4.521}
{'text': 'previously agreed upon', 'start': 475.879, 'duration': 4.16}
{'text': 'language world of', 'start': 477.72, 'duration': 5.039}
{'text': 'peacecraft critics are already colon', 'start': 480.039, 'duration': 5.12}
{'text': 'uncomfortably boring and off-puttingly', 'start': 482.759, 'duration': 5.16}
{'text': 'complicated world of peacecraft features', 'start': 485.159, 'duration': 4.801}
{'text': 'all the heart pounding excitement of', 'start': 487.919, 'duration': 4.0}
{'text': 'trilateral talks in a variety of', 'start': 489.96, 'duration': 4.16}
{'text': 'international settings from Russian', 'start': 491.919, 'duration': 4.761}
{'text': 'conference rooms to Pakistani conference', 'start': 494.12, 'duration': 5.799}
{'text': 'rooms to Israeli conference rooms and', 'start': 496.68, 'duration': 6.0}
{'text': 'back to Russian conference rooms are you', 'start': 499.919, 'duration': 5.441}
{'text': 'ready for nonstop sitting incessant', 'start': 502.68, 'duration': 5.4}
{'text': 'talking and incremental progress all', 'start': 505.36, 'duration': 4.64}
{'text': 'while trying to escape the creeping', 'start': 508.08, 'duration': 3.839}
{'text': 'sense that your presence may be doing', 'start': 510.0, 'duration': 5.599}
{'text': 'more harm than good IGN says Jesus this', 'start': 511.919, 'duration': 6.161}
{'text': 'is Bleak and official Xbox magazine', 'start': 515.599, 'duration': 5.68}
{'text': 'raids I honestly would prefer War to', 'start': 518.08, 'duration': 7.0}
{'text': "this meline alri says yeah that's pretty", 'start': 521.279, 'duration': 6.601}
{'text': "much what it's", 'start': 525.08, 'duration': 2.8}
{'text': 'like World of peacecraft the fight for', 'start': 529.08, 'duration': 7.36}
{'text': 'peace just got', 'start': 533.24, 'duration': 6.24}
{'text': 'figher moving on moving on for for our', 'start': 536.44, 'duration': 4.76}
{'text': "main story tonight uh we're going to", 'start': 539.48, 'duration': 3.88}
{'text': "look at one of America's most resilient", 'start': 541.2, 'duration': 5.4}
{'text': 'Industries payday loans one in 20', 'start': 543.36, 'duration': 5.32}
{'text': 'households have taken one out at some', 'start': 546.6, 'duration': 5.04}
{'text': "point it's A9 billion industry and", 'start': 548.68, 'duration': 5.399}
{'text': 'payday loan Outlets are all over the', 'start': 551.64, 'duration': 5.24}
{'text': 'place there are more payday loan sores', 'start': 554.079, 'duration': 6.32}
{'text': 'in America than Starbucks and', 'start': 556.88, 'duration': 6.199}
{'text': "McDonald's more than Starbucks or", 'start': 560.399, 'duration': 4.56}
{'text': "McDonald's", 'start': 563.079, 'duration': 3.76}
{'text': "McDonald's I didn't know there was more", 'start': 564.959, 'duration': 4.401}
{'text': "of anything in the US than McDonald's in", 'start': 566.839, 'duration': 5.601}
{'text': 'including people and grains of', 'start': 569.36, 'duration': 5.599}
{'text': 'sand and the payday loan industry has', 'start': 572.44, 'duration': 5.639}
{'text': 'only been around for just over 20 years', 'start': 574.959, 'duration': 5.521}
{'text': 'even Ebola looks at that growth rate and', 'start': 578.079, 'duration': 5.721}
{'text': "thinks that's impressive you guys spread", 'start': 580.48, 'duration': 5.799}
{'text': "fast and it's not just the number of", 'start': 583.8, 'duration': 4.76}
{'text': "companies it's the variety you've got", 'start': 586.279, 'duration': 6.201}
{'text': 'Fast Cash Cash Central Speedy Cash uh', 'start': 588.56, 'duration': 6.08}
{'text': 'quick cash with the word quick spelled', 'start': 592.48, 'duration': 5.44}
{'text': 'wrong and quick cash with both quick and', 'start': 594.64, 'duration': 5.56}
{'text': 'cash spelled wrong cuz what could be', 'start': 597.92, 'duration': 4.24}
{'text': 'more reassuring than a business that', 'start': 600.2, 'duration': 3.6}
{'text': "can't correctly spell either their", 'start': 602.16, 'duration': 3.799}
{'text': "product or the speed at which they're", 'start': 603.8, 'duration': 5.159}
{'text': 'getting it to you there are so many', 'start': 605.959, 'duration': 4.521}
{'text': 'different options that there are even', 'start': 608.959, 'duration': 4.44}
{'text': 'services to help match you to A lender', 'start': 610.48, 'duration': 6.0}
{'text': 'and you cannot have avoided these ads hi', 'start': 613.399, 'duration': 5.241}
{'text': "Montel here I'm Montel Williams hi I'm", 'start': 616.48, 'duration': 3.919}
{'text': 'Montel Williams from Money Mutual call', 'start': 618.64, 'duration': 3.759}
{'text': 'or go to moneymutual.com and get up to', 'start': 620.399, 'duration': 4.201}
{'text': '$1,000 on your checking account by', 'start': 622.399, 'duration': 4.761}
{'text': 'tomorrow that car repair bill paid the', 'start': 624.6, 'duration': 4.72}
{'text': 'medical emergency handled extra cash', 'start': 627.16, 'duration': 5.72}
{'text': 'fion to Payday done', 'start': 629.32, 'duration': 6.4}
{'text': 'done thanks Montel quick question though', 'start': 632.88, 'duration': 5.36}
{'text': 'how the hell are you a financial', 'start': 635.72, 'duration': 4.72}
{'text': "spokesman hey hey everyone uh isn't that", 'start': 638.24, 'duration': 4.64}
{'text': 'the guy who did that uh episode on how', 'start': 640.44, 'duration': 4.32}
{'text': "it's hard to be the less pretty con join", 'start': 642.88, 'duration': 4.44}
{'text': 'twin everybody be quiet this guy might', 'start': 644.76, 'duration': 5.0}
{'text': 'have some pretty sound financial', 'start': 647.32, 'duration': 5.28}
{'text': 'advice when something is this popular', 'start': 649.76, 'duration': 4.56}
{'text': 'and this prevalent you owe it to', 'start': 652.6, 'duration': 4.88}
{'text': 'yourself to find out exactly what it is', 'start': 654.32, 'duration': 5.36}
{'text': 'much in the way that I finally get in', 'start': 657.48, 'duration': 5.08}
{'text': "and read all four Twilight books uh I'm", 'start': 659.68, 'duration': 6.12}
{'text': 'on Team Bella by the way Team Bella she', 'start': 662.56, 'duration': 5.12}
{'text': "doesn't need a man to Define her team", 'start': 665.8, 'duration': 6.76}
{'text': "Bella okay I'm on Team Bella", 'start': 667.68, 'duration': 8.44}
{'text': "Bella that's not the point the point is", 'start': 672.56, 'duration': 6.88}
{'text': 'what is a payday loan what is a payday', 'start': 676.12, 'duration': 5.959}
{'text': 'loan a payday loan is a quick way to get', 'start': 679.44, 'duration': 5.0}
{'text': 'the cash you need to cover an unexpected', 'start': 682.079, 'duration': 4.921}
{'text': 'expense like a car repair or doctor bill', 'start': 684.44, 'duration': 4.16}
{'text': "it's called a payday loan because the", 'start': 687.0, 'duration': 3.72}
{'text': 'loan balance is typically due on your', 'start': 688.6, 'duration': 6.32}
{'text': 'next payday oh that does make sense I I', 'start': 690.72, 'duration': 6.08}
{'text': 'thought it was a loan that you repaid in', 'start': 694.92, 'duration': 4.599}
{'text': 'Payday candy bars your way is better', 'start': 696.8, 'duration': 4.96}
{'text': 'your your way is better than mine', 'start': 699.519, 'duration': 4.44}
{'text': 'clearly this lady is psychotically', 'start': 701.76, 'duration': 4.879}
{'text': 'friendly and also seems to have an', 'start': 703.959, 'duration': 5.161}
{'text': 'appealing product so how much might a', 'start': 706.639, 'duration': 5.481}
{'text': 'company charge for this sort of service', 'start': 709.12, 'duration': 6.519}
{'text': "often it's 300 or 400 percentage points", 'start': 712.12, 'duration': 5.8}
{'text': 'on an annual basis average annual rates', 'start': 715.639, 'duration': 6.32}
{'text': 'of 57 % some of those rates legally are', 'start': 717.92, 'duration': 5.24}
{'text': 'as high as', 'start': 721.959, 'duration': 5.0}
{'text': '1,00% a year', 'start': 723.16, 'duration': 7.0}
{'text': '1,00% even the most demanding abusive', 'start': 726.959, 'duration': 6.041}
{'text': 'football coaches only ask for', 'start': 730.16, 'duration': 5.56}
{'text': '110 hit him in the mouth Billy hit him', 'start': 733.0, 'duration': 3.639}
{'text': 'in the', 'start': 735.72, 'duration': 4.4}
{'text': 'mouth now now to be fair payday loan', 'start': 736.639, 'duration': 5.841}
{'text': 'companies will say these are short-term', 'start': 740.12, 'duration': 4.6}
{'text': 'loans so an annual percentage rate', 'start': 742.48, 'duration': 5.24}
{'text': "doesn't apply which is true if you pay", 'start': 744.72, 'duration': 5.479}
{'text': 'them off immediately but many customers', 'start': 747.72, 'duration': 5.76}
{'text': "don't one study showed that 34 of the", 'start': 750.199, 'duration': 5.041}
{'text': "industry's volume was generated by", 'start': 753.48, 'duration': 4.799}
{'text': 'borrowers who have to rebor before their', 'start': 755.24, 'duration': 5.88}
{'text': 'next pay period basically payday loans', 'start': 758.279, 'duration': 5.8}
{'text': 'are the laay potato chips of Finance you', 'start': 761.12, 'duration': 5.079}
{'text': "can't have just one and they're terrible", 'start': 764.079, 'duration': 3.241}
{'text': 'for', 'start': 766.199, 'duration': 3.681}
{'text': "you and it's when you start missing", 'start': 767.32, 'duration': 4.879}
{'text': "payments that you're susceptible not", 'start': 769.88, 'duration': 4.28}
{'text': 'just to frightening levels of interest', 'start': 772.199, 'duration': 3.88}
{'text': 'but also to fees that you may not have', 'start': 774.16, 'duration': 6.039}
{'text': 'been aware of I was like I save maybe', 'start': 776.079, 'duration': 7.961}
{'text': '$6,000 like deep you know every payday I', 'start': 780.199, 'duration': 5.401}
{'text': 'was here every time I got paid I would', 'start': 784.04, 'duration': 3.32}
{'text': 'paid it off and I would get another one', 'start': 785.6, 'duration': 4.039}
{'text': 'an endless cycle a dead', 'start': 787.36, 'duration': 5.479}
{'text': 'end I would advise anybody not to I', 'start': 789.639, 'duration': 6.64}
{'text': 'borrow 250 I thought I would pay', 'start': 792.839, 'duration': 7.641}
{'text': '$325 I actually paid $700 but it would', 'start': 796.279, 'duration': 7.601}
{'text': 'have been $1,100 had I not gone to the', 'start': 800.48, 'duration': 7.44}
{'text': 'bank and put a stop to this', 'start': 803.88, 'duration': 6.48}
{'text': '$1,100 it it is not often that a', 'start': 807.92, 'duration': 4.88}
{'text': 'metaphorical slippery slope cost as much', 'start': 810.36, 'duration': 4.44}
{'text': 'as an actual ski', 'start': 812.8, 'duration': 4.599}
{'text': 'vacation payday loan companies present', 'start': 814.8, 'duration': 4.399}
{'text': 'themselves as a way for you to get back', 'start': 817.399, 'duration': 3.521}
{'text': "onto your feet they don't want you to", 'start': 819.199, 'duration': 4.041}
{'text': "get trapped in debt in fact they'll help", 'start': 820.92, 'duration': 4.599}
{'text': 'you if you fall behind remember the', 'start': 823.24, 'duration': 4.88}
{'text': 'friendly Ace Cash lady from before what', 'start': 825.519, 'duration': 4.841}
{'text': "happens if you can't pay back your loan", 'start': 828.12, 'duration': 3.719}
{'text': 'sometimes people have a hard time paying', 'start': 830.36, 'duration': 3.279}
{'text': "us back and we'll be there to work with", 'start': 831.839, 'duration': 4.841}
{'text': 'you if that should happen yeah no', 'start': 833.639, 'duration': 5.841}
{'text': "you'll be there for them you're business", 'start': 836.68, 'duration': 5.0}
{'text': 'model depends on it because an actual', 'start': 839.48, 'duration': 4.719}
{'text': 'Ace Cash training manual for employees', 'start': 841.68, 'duration': 4.8}
{'text': 'featured a diagram which starts with the', 'start': 844.199, 'duration': 4.601}
{'text': 'customer applying for an Ace Loan moves', 'start': 846.48, 'duration': 4.039}
{'text': 'through them spending the money on that', 'start': 848.8, 'duration': 4.279}
{'text': 'loan being unable to pay it back and', 'start': 850.519, 'duration': 4.56}
{'text': 'then being forced to apply for an Ace', 'start': 853.079, 'duration': 5.041}
{'text': "Loan again you'll notice that has a a", 'start': 855.079, 'duration': 6.32}
{'text': "certain roundness to it it's basically a", 'start': 858.12, 'duration': 6.48}
{'text': "recycling symbol for human misery it's", 'start': 861.399, 'duration': 8.051}
{'text': 'the circle of debt and it screws us', 'start': 864.6, 'duration': 6.479}
{'text': '[Music]', 'start': 869.45, 'duration': 4.27}
{'text': 'now now obviously we must not generalize', 'start': 871.079, 'duration': 5.161}
{'text': 'about this shitty industry some', 'start': 873.72, 'duration': 4.559}
{'text': 'companies hold themselves to a higher', 'start': 876.24, 'duration': 4.44}
{'text': 'standard in fact the Community Financial', 'start': 878.279, 'duration': 5.321}
{'text': 'Services Association of America insists', 'start': 880.68, 'duration': 4.92}
{'text': 'that their members are different from', 'start': 883.6, 'duration': 4.32}
{'text': 'the shadier elements of the industry', 'start': 885.6, 'duration': 4.44}
{'text': 'they even brag about it in one of the', 'start': 887.92, 'duration': 4.96}
{'text': 'most boring videos on the internet in', 'start': 890.04, 'duration': 4.919}
{'text': "our industry I mean let's be honest", 'start': 892.88, 'duration': 3.879}
{'text': 'there there are some there are some', 'start': 894.959, 'duration': 3.721}
{'text': "companies out there that don't even", 'start': 896.759, 'duration': 4.361}
{'text': 'follow the law let alone follow a', 'start': 898.68, 'duration': 4.92}
{'text': 'standard uh of best practices like our', 'start': 901.12, 'duration': 5.719}
{'text': 'member companies do oh those other', 'start': 903.6, 'duration': 5.56}
{'text': 'companies are awful Our member companies', 'start': 906.839, 'duration': 4.56}
{'text': 'are pillars of the community did you', 'start': 909.16, 'duration': 4.16}
{'text': 'know that one of them gave a kidney to a', 'start': 911.399, 'duration': 4.081}
{'text': 'little girl in a hospital she was in', 'start': 913.32, 'duration': 4.12}
{'text': 'there for tonsilitis but now she has', 'start': 915.48, 'duration': 5.68}
{'text': "three kidneys we're good companies so so", 'start': 917.44, 'duration': 5.839}
{'text': "let's take a look at their wonderful", 'start': 921.16, 'duration': 4.799}
{'text': 'members and their best practices first', 'start': 923.279, 'duration': 4.721}
{'text': "there's Advance America one of the", 'start': 925.959, 'duration': 3.841}
{'text': 'biggest companies in the industry whose', 'start': 928.0, 'duration': 4.16}
{'text': 'co-founder defends his business like', 'start': 929.8, 'duration': 5.08}
{'text': 'this the consumer demand for the product', 'start': 932.16, 'duration': 5.919}
{'text': 'is overwhelming and speaks for itself', 'start': 934.88, 'duration': 5.24}
{'text': "okay that's fair although it's also", 'start': 938.079, 'duration': 3.88}
{'text': 'worth pointing out that the customer', 'start': 940.12, 'duration': 5.6}
{'text': 'demand for heroin is also overwhelming', 'start': 941.959, 'duration': 5.32}
{'text': "and that doesn't mean it's a product", 'start': 945.72, 'duration': 2.96}
{'text': "you'd necessarily recommend to your", 'start': 947.279, 'duration': 3.521}
{'text': 'friends to get them out of a', 'start': 948.68, 'duration': 4.839}
{'text': 'jam Advanced America is a company whose', 'start': 950.8, 'duration': 5.08}
{'text': 'best practices somehow include agreeing', 'start': 953.519, 'duration': 3.161}
{'text': 'to an', 'start': 955.88, 'duration': 3.399}
{'text': '$8.75 million settlement in in North', 'start': 956.68, 'duration': 4.36}
{'text': 'Carolina after they were accused of', 'start': 959.279, 'duration': 4.321}
{'text': 'illegally High interest rates but but', 'start': 961.04, 'duration': 5.4}
